age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,1,0,1,0,2143,1,0,1,5,4,261,1,0,0,0,0
44,2,1,0,0,29,1,0,1,5,4,151,1,0,0,0,0
33,6,0,0,0,2,1,1,1,5,4,76,1,0,0,0,0
47,0,0,3,0,1506,1,0,1,5,4,92,1,0,0,0,0
33,6,1,3,0,1,0,0,1,5,4,198,1,0,0,0,0
35,1,0,1,0,231,1,0,1,5,4,139,1,0,0,0,0
28,1,1,1,0,447,1,1,1,5,4,217,1,0,0,0,0
42,6,2,1,1,2,1,0,1,5,4,380,1,0,0,0,0
58,5,0,2,0,121,1,0,1,5,4,50,1,0,0,0,0
43,2,1,0,0,593,1,0,1,5,4,55,1,0,0,0,0
41,3,2,0,0,270,1,0,1,5,4,222,1,0,0,0,0
29,3,1,0,0,390,1,0,1,5,4,137,1,0,0,0,0
53,2,0,0,0,6,1,0,1,5,4,517,1,0,0,0,0
58,2,0,3,0,71,1,0,1,5,4,71,1,0,0,0,0
57,4,0,0,0,162,1,0,1,5,4,174,1,0,0,0,0
51,5,0,2,0,229,1,0,1,5,4,353,1,0,0,0,0
45,3,1,3,0,13,1,0,1,5,4,98,1,0,0,0,0
57,0,0,2,0,52,1,0,1,5,4,38,1,0,0,0,0
60,5,0,2,0,60,1,0,1,5,4,219,1,0,0,0,0
33,4,0,0,0,0,1,0,1,5,4,54,1,0,0,0,0
28,0,0,0,0,723,1,1,1,5,4,262,1,0,0,0,0
56,1,0,1,0,779,1,0,1,5,4,164,1,0,0,0,0
32,0,1,2,0,23,1,1,1,5,4,160,1,0,0,0,0
25,4,0,0,0,50,1,0,1,5,4,342,1,0,0,0,0
40,5,0,2,0,0,1,1,1,5,4,181,1,0,0,0,0
44,3,0,0,0,-372,1,0,1,5,4,172,1,0,0,0,0
39,1,1,1,0,255,1,0,1,5,4,296,1,0,0,0,0
52,6,0,0,0,113,1,1,1,5,4,127,1,0,0,0,0
46,1,1,0,0,-246,1,0,1,5,4,255,2,0,0,0,0
36,2,1,0,0,265,1,1,1,5,4,348,1,0,0,0,0
57,2,0,0,0,839,0,1,1,5,4,225,1,0,0,0,0
49,1,0,1,0,378,1,0,1,5,4,230,1,0,0,0,0
60,3,0,0,0,39,1,1,1,5,4,208,1,0,0,0,0
59,0,0,0,0,0,1,0,1,5,4,226,1,0,0,0,0
57,2,2,0,0,63,1,0,1,5,4,242,1,0,0,0,0
25,0,0,0,0,-7,1,0,1,5,4,365,1,0,0,0,0
36,3,2,0,0,506,1,0,1,5,4,577,1,0,0,0,0
37,3,1,0,0,0,1,0,1,5,4,137,1,0,0,0,0
44,4,2,0,0,2586,1,0,1,5,4,160,1,0,0,0,0
50,1,0,0,0,49,1,0,1,5,4,180,2,0,0,0,0
60,0,0,3,0,104,1,0,1,5,4,22,1,0,0,0,0
58,5,0,3,0,96,1,0,1,5,4,616,1,0,0,0,0
36,3,1,2,0,-171,1,0,1,5,4,242,1,0,0,0,0
58,6,0,1,0,-364,1,0,1,5,4,355,1,0,0,0,0
44,2,0,0,0,0,1,0,1,5,4,225,2,0,0,0,0
55,2,2,0,0,0,0,0,1,5,4,160,1,0,0,0,0
29,1,1,1,0,0,1,0,1,5,4,363,1,0,0,0,0
54,0,0,0,0,1291,1,0,1,5,4,266,1,0,0,0,0
48,1,2,1,0,-244,1,0,1,5,4,253,1,0,0,0,0
32,1,0,1,0,0,1,0,1,5,4,179,1,0,0,0,0
24,2,1,0,0,-103,1,1,1,5,4,145,1,0,0,0,0
38,6,1,1,0,243,0,1,1,5,4,174,1,0,0,0,0
38,1,1,1,0,424,1,0,1,5,4,104,1,0,0,0,0
47,0,0,3,0,306,1,0,1,5,4,13,1,0,0,0,0
40,0,1,3,0,24,1,0,1,5,4,185,1,0,0,0,0
32,3,0,1,0,0,1,0,1,5,4,138,1,0,0,0,0
57,0,0,2,0,249,1,0,1,5,4,164,1,0,0,0,0
33,4,0,0,0,790,1,0,1,5,4,391,1,0,0,0,0
49,0,0,3,0,154,1,0,1,5,4,357,1,0,0,0,0
60,5,0,1,0,100,0,0,1,5,4,528,1,0,0,0,0
59,1,2,1,0,59,1,0,1,5,4,273,1,0,0,0,0
55,2,0,0,0,1205,1,0,1,5,4,158,2,0,0,0,0
31,4,0,0,0,25,1,1,1,5,4,172,1,0,0,0,0
54,1,0,0,0,282,1,1,1,5,4,154,1,0,0,0,0
55,0,0,2,0,23,1,0,1,5,4,291,1,0,0,0,0
43,2,0,0,0,1937,1,0,1,5,4,181,1,0,0,0,0
53,2,0,0,0,384,1,0,1,5,4,176,1,0,0,0,0
44,0,0,0,0,582,0,1,1,5,4,211,1,0,0,0,0
55,4,2,0,0,91,0,0,1,5,4,349,1,0,0,0,0
49,4,2,0,0,0,1,1,1,5,4,272,1,0,0,0,0
55,4,2,0,1,1,1,0,1,5,4,208,1,0,0,0,0
45,3,1,0,0,206,1,0,1,5,4,193,1,0,0,0,0
47,4,2,0,0,164,0,0,1,5,4,212,1,0,0,0,0
42,2,1,0,0,690,1,0,1,5,4,20,1,0,0,0,0
46,6,0,1,0,137,1,1,1,5,4,246,1,0,0,0,0
51,0,0,2,0,173,1,0,1,5,4,529,2,0,0,0,0
46,1,2,0,0,16,1,1,1,5,4,188,2,0,0,0,0
57,5,0,0,0,486,1,0,1,5,4,180,2,0,0,0,0
42,1,1,0,0,50,0,0,1,5,4,48,1,0,0,0,0
30,2,0,0,0,152,1,1,1,5,4,213,2,0,0,0,0
60,3,0,0,0,290,1,0,1,5,4,583,1,0,0,0,0
60,0,0,3,0,54,1,0,1,5,4,221,1,0,0,0,0
57,6,2,0,0,-37,0,0,1,5,4,173,1,0,0,0,0
36,1,0,1,0,101,1,1,1,5,4,426,1,0,0,0,0
55,0,0,0,0,383,0,0,1,5,4,287,1,0,0,0,0
60,5,0,1,0,81,1,0,1,5,4,101,1,0,0,0,0
39,2,0,0,0,0,1,0,1,5,4,203,1,0,0,0,0
46,1,0,1,0,229,1,0,1,5,4,197,1,0,0,0,0
44,0,0,0,0,-674,1,0,1,5,4,257,1,0,0,0,0
53,0,0,2,0,90,0,0,1,5,4,124,1,0,0,0,0
